	0	19	0	1072025	31072025	SUPERMERCADO FRUTILÂNDIA LTDA	4,79296E+12		MS	283206993	5007901			A	1																							
	C100	0	1	FORN528	55	0	0	6497	5,02507E+43	1072025	3072025	1085	1	0	0	1085	9	0	0	0	467,35	79,45	0	0	0	0	0	0	0									
	C170	1	PROD19219	AGRIAO UND	18	UN	60	0	0	20	1102	NAT01102	24,71	17	4,2	0	0	0				0	0	0	73	0	0			0	73	0	0			0		0
	C170	2	PROD18719	ERVA AROMATICA UNIDADE	45	UN	160	0	0	20	1102	NAT01102	65,89	17	11,2	0	0	0				0	0	0	73	0	0			0	73	0	0			0		0
	C170	3	PROD19225	BERINJELA KG	26	KG	120	0	0	20	1102	NAT01102	49,41	17	8,4	0	0	0				0	0	0	73	0	0			0	73	0	0			0		0
	C170	4	PROD19221	COENTRO FRESCO UN.	15	UN	60	0	0	20	1102	NAT01102	24,71	17	4,2	0	0	0				0	0	0	73	0	0			0	73	0	0			0		0
	C170	5	PROD19218	ESPINAFRE UN.	5	UN	30	0	0	20	1102	NAT01102	12,35	17	2,1	0	0	0				0	0	0	73	0	0			0	73	0	0			0		0
	C170	6	PROD19213	NABO UND	8	UN	30	0	0	20	1102	NAT01102	12,35	17	2,1	0	0	0				0	0	0	73	0	0			0	73	0	0			0		0
	C170	7	PROD19244	PEPINO COMUM KG	36	KG	240	0	0	20	1102	NAT01102	98,82	17	16,8	0	0	0				0	0	0	73	0	0			0	73	0	0			0		0
	C170	8	PROD19245	PEPINO JAPONES KG	20	KG	120	0	0	20	1102	NAT01102	49,41	17	8,4	0	0	0				0	0	0	73	0	0			0	73	0	0			0		0
	C170	9	PROD19100	ALHO PORO UND	8	UN	35	0	0	0	1102	NAT01102	35	17	5,95	0	0	0				0	0	0	73	0	0			0	73	0	0			0		0
	C170	10	PROD19091	PINHAO KG	18	KG	230	0	0	20	1102	NAT01102	94,7	17	16,1	0	0	0				0	0	0	73	0	0			0	73	0	0			0		0
	C190	0	1102	17	35	35	5,95	0	0	0	0																											
	C190	20	1102	17	1050	432,35	73,5	0	0	617,65	0																											
	C100	0	1	FORN528	55	0	0	6555	5,02507E+43	4072025	4072025	840	1	0	0	840	9	0	0	0	345,87	58,8	0	0	0	0	0	0	0									
	C170	1	PROD18842	CHICORIA UN.	18	UN	65	0	0	20	1102	NAT01102	26,76	17	4,55	0	0	0				0	0	0	73	0	0			0	73	0	0			0		0
	C170	2	PROD19225	BERINJELA KG	26	KG	120	0	0	20	1102	NAT01102	49,41	17	8,4	0	0	0				0	0	0	73	0	0			0	73	0	0			0		0
	C170	3	PROD19202	MANDIOQUINHA KG	10	KG	160	0	0	20	1102	NAT01102	65,88	17	11,2	0	0	0				0	0	0	73	0	0			0	73	0	0			0		0
	C170	4	PROD19246	MAMAO PAPAYA KG	5	KG	35	0	0	20	1102	NAT01102	14,41	17	2,45	0	0	0				0	0	0	73	0	0			0	73	0	0			0		0
	C170	5	PROD19245	PEPINO JAPONES KG	20	KG	120	0	0	20	1102	NAT01102	49,41	17	8,4	0	0	0				0	0	0	73	0	0			0	73	0	0			0		0
	C170	6	PROD18719	ERVA AROMATICA UNIDADE	45	UN	100	0	0	20	1102	NAT01102	41,18	17	7	0	0	0				0	0	0	73	0	0			0	73	0	0			0		0
	C170	7	PROD19091	PINHAO KG	18	KG	240	0	0	20	1102	NAT01102	98,82	17	16,8	0	0	0				0	0	0	73	0	0			0	73	0	0			0		0
	C190	20	1102	17	840	345,87	58,8	0	0	494,13	0																											
	C100	0	1	FORN528	55	0	0	6656	5,02507E+43	11072025	11072025	920	1	0	0	920	9	0	0	0	378,84	64,4	0	0	0	0	0	0	0									
	C170	1	PROD19272	BATATA  MIUDA KG	25	KG	90	0	0	20	1102	NAT01102	37,06	17	6,3	0	0	0				0	0	0	73	0	0			0	73	0	0			0		0
	C170	2	PROD19225	BERINJELA KG	10	KG	60	0	0	20	1102	NAT01102	24,71	17	4,2	0	0	0				0	0	0	73	0	0			0	73	0	0			0		0
	C170	3	PROD21321	CAQUI RAMA FORTE 500G	18	UN	120	0	0	20	1102	NAT01102	49,41	17	8,4	0	0	0				0	0	0	73	0	0			0	73	0	0			0		0
	C170	4	PROD19221	COENTRO FRESCO UN.	25	UN	100	0	0	20	1102	NAT01102	41,18	17	7	0	0	0				0	0	0	73	0	0			0	73	0	0			0		0
	C170	5	PROD18842	CHICORIA UN.	8	UN	20	0	0	20	1102	NAT01102	8,24	17	1,4	0	0	0				0	0	0	73	0	0			0	73	0	0			0		0
	C170	6	PROD19213	NABO UND	8	UN	30	0	0	20	1102	NAT01102	12,35	17	2,1	0	0	0				0	0	0	73	0	0			0	73	0	0			0		0
	C170	7	PROD19245	PEPINO JAPONES KG	20	KG	140	0	0	20	1102	NAT01102	57,65	17	9,8	0	0	0				0	0	0	73	0	0			0	73	0	0			0		0
	C170	8	PROD19081	PIMENTAO COLORIDO KG	20	KG	360	0	0	20	1102	NAT01102	148,24	17	25,2	0	0	0				0	0	0	73	0	0			0	73	0	0			0		0
	C190	20	1102	17	920	378,84	64,4	0	0	541,16	0																											
	C100	0	1	FORN528	55	0	0	6719	5,02507E+43	15072025	15072025	1275	1	0	0	1275	9	0	0	0	545,58	92,75	0	0	0	0	0	0	0									
	C170	1	PROD19225	BERINJELA KG	20	KG	120	0	0	20	1102	NAT01102	49,41	17	8,4	0	0	0				0	0	0	73	0	0			0	73	0	0			0		0
	C170	2	PROD19221	COENTRO FRESCO UN.	20	UN	80	0	0	20	1102	NAT01102	32,94	17	5,6	0	0	0				0	0	0	73	0	0			0	73	0	0			0		0
	C170	3	PROD19100	ALHO PORO UND	8	UN	35	0	0	0	1102	NAT01102	35	17	5,95	0	0	0				0	0	0	73	0	0			0	73	0	0			0		0
	C170	4	PROD19244	PEPINO COMUM KG	36	KG	240	0	0	20	1102	NAT01102	98,82	17	16,8	0	0	0				0	0	0	73	0	0			0	73	0	0			0		0
	C170	5	PROD19245	PEPINO JAPONES KG	20	KG	150	0	0	20	1102	NAT01102	61,76	17	10,5	0	0	0				0	0	0	73	0	0			0	73	0	0			0		0
	C170	6	PROD19270	PIMENTAO VERDE KG	60	KG	550	0	0	20	1102	NAT01102	226,47	17	38,5	0	0	0				0	0	0	73	0	0			0	73	0	0			0		0
	C170	7	PROD19214	SALSAO UNIDADE	5	UN	40	0	0	20	1102	NAT01102	16,47	17	2,8	0	0	0				0	0	0	73	0	0			0	73	0	0			0		0
	C170	8	PROD18719	ERVA AROMATICA UNIDADE	18	UN	60	0	0	20	1102	NAT01102	24,71	17	4,2	0	0	0				0	0	0	73	0	0			0	73	0	0			0		0
	C190	0	1102	17	35	35	5,95	0	0	0	0																											
	C190	20	1102	17	1240	510,58	86,8	0	0	729,42	0																											
	C100	0	1	FORN528	55	0	0	6772	5,02507E+43	18072025	18072025	1020	1	0	0	1020	9	0	0	0	440,58	74,9	0	0	0	0	0	0	0									
	C170	1	PROD18719	ERVA AROMATICA UNIDADE	54	UN	190	0	0	20	1102	NAT01102	78,24	17	13,3	0	0	0				0	0	0	73	0	0			0	73	0	0			0		0
	C170	2	PROD18600	BARDANA OU GOBO UN.	8	UN	25	0	0	20	1102	NAT01102	10,29	17	1,75	0	0	0				0	0	0	73	0	0			0	73	0	0			0		0
	C170	3	PROD19100	ALHO PORO UND	8	UN	35	0	0	0	1102	NAT01102	35	17	5,95	0	0	0				0	0	0	73	0	0			0	73	0	0			0		0
	C170	4	PROD19244	PEPINO COMUM KG	18	KG	120	0	0	20	1102	NAT01102	49,41	17	8,4	0	0	0				0	0	0	73	0	0			0	73	0	0			0		0
	C170	5	PROD19245	PEPINO JAPONES KG	20	KG	150	0	0	20	1102	NAT01102	61,76	17	10,5	0	0	0				0	0	0	73	0	0			0	73	0	0			0		0
	C170	6	PROD19270	PIMENTAO VERDE KG	36	KG	330	0	0	20	1102	NAT01102	135,88	17	23,1	0	0	0				0	0	0	73	0	0			0	73	0	0			0		0
	C170	7	PROD19265	VAGEM KG	13	KG	170	0	0	20	1102	NAT01102	70	17	11,9	0	0	0				0	0	0	73	0	0			0	73	0	0			0		0
	C190	0	1102	17	35	35	5,95	0	0	0	0																											
	C190	20	1102	17	985	405,58	68,95	0	0	579,42	0																											
	C100	0	1	FORN528	55	0	0	6829	5,02507E+43	22072025	22072025	825	1	0	0	825	9	0	0	0	360,29	61,25	0	0	0	0	0	0	0									
